2.43 3.58
0.17 0.29
-3.80 9.34
2.45 5.43
-2.38 -0.48
1.68 1.82
1.32 1.39
-7.40 5.48
0.40 0.40
2.47 3.63
-2.06 9.44
-1.12 -0.35
-0.54 -0.15
-6.80 1.87
-4.27 9.13
1.44 7.64
-3.34 9.47
-6.71 1.61
-4.60 0.13
-7.16 2.72
1.61 7.41
-4.57 9.05
-0.36 9.02
-2.89 -0.51
-6.63 7.25
-5.87 0.87
-3.58 -0.32
-3.58 -0.39
-2.20 -0.39
1.45 1.30
1.75 7.12
-5.55 0.49
-5.47 8.42
-7.50 4.94
-2.97 -0.41
-7.40 5.29
-7.39 4.00
-7.50 3.95
-7.27 2.89
-6.96 6.90
2.43 4.07
-0.93 -0.32
-2.84 9.46
-7.48 4.92
-1.62 9.48
-7.53 4.08
-5.79 8.25
-3.77 9.32
0.03 8.85
0.94 8.20
-6.13 1.05
-3.49 9.36
-4.46 -0.02
2.09 6.54
-1.12 -0.33
-3.28 -0.40
-5.93 8.12
-6.14 7.86
-3.23 -0.45
0.07 0.18
2.15 2.63
1.53 7.57
-5.03 8.79
-4.12 9.24
-7.26 2.93
-2.71 9.42
-7.08 6.08
-2.33 -0.48
2.28 5.89
-1.25 -0.36
1.03 8.06
-3.34 9.37
-6.90 2.16
